questions,answers
Bạn thuê trọ bao nhiêu tiền?,Mình thuê khoảng 3 tr một tháng
Nhà bạn có bao nhiêu người vậy ?,Nhà mình có 7 người
Nhà trọ bạn ở Phú Mỹ Hưng phải không,Không nhà mình ở Thảo Điền
Bạn ơi cho t hỏi chỗ trọ lúc trước bạn ở giá cả như thế nào vậy ?,"Giá hơi mắc nên mình đã chuyển đi rồi đó bạn, 5 triệu 1 tháng, nhưng không đáng với giá tiền đó"
"Bạn ơi, lúc trước mình có nghe bạn kể rằng bạn vừa mới chuyển trọ ấy, không biết chỗ trọ mới của bạn ở đâu thế ?","À mình chuyển trọ để gần nơi đi làm, ở quận 7 đường huỳnh tấn phát á bạn"
"Bạn ơi chỗ ở cũ của mình giá cao quá không biết xoay sở như nào nên đành phải chuyển trọ, bạn có biết phòng trọ cho thuê giá rẻ nào ở sài gòn mình không ?","Để cho việc tìm trọ thuận lợi thì mình khuyên bạn nên lên facebookk tìm những bài post, hoặc google để search các nhà trọ, có ảnh, địa chỉ rõ ràng, nhưng bạn phải cẩn thận khi lại ký hợp đồng, nhớ đọc kỹ vì dạo này lừa tiền cọc trên sài gòn rất phổ biến"
"Mình vừa từ dưới quê lên sài gòn sinh sống nên định thuê trọ nhưng không biết cách thức thuê như nào, bạn có thể chỉ giúp mình không ?","Khi thuê trọ bạn phải đóng tiền cọc, xong khi chuyển đến bạn phải làm sổ tạm trú bằng cách khai thông tin vào giấy khai"
"Hiện tại bạn đang ở trọ chung với ai vậy, có vui không chứ tui thấy ở một mình có hơi bất tiện ?","Mình hơi khó tính nên ở 1 mình, mình cảm thấy bình thường, không vui cũng không buồn, bất tiện thì không có"
hiện tại bạn đang ở nhà trọ hay là ở chung với gia đình?,hiện tại mình đang ở nhà trọ
bạn ở nhà trọ một mình à?,"không, mình ở nhà trọ với một số người bạn của mình"
bạn ở nhà trọ vậy có nhớ nhà không?,đôi lúc mình cũng nhớ nhà lắm
bạn có hay nấu ăn ở phòng trọ không?,"không, mình thường với bạn ra ngoài ăn"
bạn thuê nhà trọ như vậy có mắc không?,cũng không mắc lắm vì tụi mình chia sẻ tiền nhà với nhau mà
nhà trọ bạn thuê có gần trường không?,nhà trọ mình cũng khá là gần trường
nhà trọ bạn thuê có gần trường không?,nhà trọ cách trường mình 5 phút đi bộ
Bạn thuê nhà ở đâu?,"Mình thuê phòng ở đường Lê Văn Lương, quận 7"
Chi phí 1 tháng bao nhiêu tiền?,"Chi phí 1 tháng 4 triệu bao luôn phí tiền điện, nước"
Phòng bạn đang ở có mấy người?,Mình đang ở phòng 3 người
Bạn cùng phòng của bạn tính tình như thế nào?,Bạn cùng phòng của mình cũng vui tính
Nơi bạn ở có gần chợ không?,Nơi mình ở cách chợ 2 km
Bạn có ở gần trường không?,Mình ở cũng khá xa trường
Bạn thích sống ở đó không?,Mình cảm thấy rất vui khi ở đó
Mình có thể ghé chơi vào những lúc rãnh không,Bạn có thể ghé qua phòng mình chơi vào những lúc rãnh
Không gian phòng bạn có thoải mái không?,Không gian có cửa sổ thoáng mát nên rất thoải mái
"Hiện tại cậu đang ở đâu vậy, ở thuê hay ở nhà riêng?",Tớ hiện tại đang ở nhà riêng
Phòng ốc nhà cậu rộng rãi không?,Phòng ốc nhà tôi Không rộng rãi lắm.
Phòng riêng của anh có máy lạnh không?,Phòng riêng của tôi có máy lạnh.
